index	name	sample_id	analysis_id	row	Tag_count	Group	Tags/Kb
168	TS419L	849140b581784cebb9204876f0eeec96	dc1a4e95f352400ca00df3a69ad3ea84	9	3283	TES_down_5kb	0.03
169	TS419L	849140b581784cebb9204876f0eeec96	dc1a4e95f352400ca00df3a69ad3ea84	10	4575	TES_down_10kb	0.02
170	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	2	5308	5'UTR_Exons	0.28
171	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	4	95973	Introns	0.07
172	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	6	1045	TSS_up_5kb	0.01
173	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	8	1085	TES_down_1kb	0.04
174	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	10	4313	TES_down_10kb	0.02
175	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	1	68865	CDS_Exons	1.82
176	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	3	30531	3'UTR_Exons	0.64
177	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	5	294	TSS_up_1kb	0.01
178	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	7	1866	TSS_up_10kb	0.01
179	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	9	3039	TES_down_5kb	0.03
180	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	1	71038	CDS_Exons	1.87
181	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	3	30473	3'UTR_Exons	0.64
182	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	5	279	TSS_up_1kb	0.01
183	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	7	1924	TSS_up_10kb	0.01
184	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	9	3215	TES_down_5kb	0.03
185	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	2	5550	5'UTR_Exons	0.3
186	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	4	93760	Introns	0.07
187	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	6	1040	TSS_up_5kb	0.01
188	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	8	1159	TES_down_1kb	0.04
189	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	10	4420	TES_down_10kb	0.02
190	TS422L	8028b5009d704fddb850e3d562f35750	dc1a4e95f352400ca00df3a69ad3ea84	1	70218	CDS_Exons	1.85
191	TS422L	8028b5009d704fddb850e3d562f35750	dc1a4e95f352400ca00df3a69ad3ea84	2	5647	5'UTR_Exons	0.3
192	TS422L	8028b5009d704fddb850e3d562f35750	dc1a4e95f352400ca00df3a69ad3ea84	3	31139	3'UTR_Exons	0.65
193	TS422L	8028b5009d704fddb850e3d562f35750	dc1a4e95f352400ca00df3a69ad3ea84	4	93586	Introns	0.06
194	TS422L	8028b5009d704fddb850e3d562f35750	dc1a4e95f352400ca00df3a69ad3ea84	5	314	TSS_up_1kb	0.01
195	TS422L	8028b5009d704fddb850e3d562f35750	dc1a4e95f352400ca00df3a69ad3ea84	6	1110	TSS_up_5kb	0.01
196	TS422L	8028b5009d704fddb850e3d562f35750	dc1a4e95f352400ca00df3a69ad3ea84	7	1986	TSS_up_10kb	0.01
